num_joins,num_where,has_order_by,has_group_by,query_length,rows_examined,using_filesort,using_temporary,index_count,buffer_pool_hit_ratio,connections_count,hour_of_day,day_of_week,access_type,is_slow,execution_time
0,1,0,0,59,150,0,0,0.0,0.992,2,15,6,UNKNOWN,0,0.000634
0,1,0,0,55,50,0,0,0.0,0.992,2,15,6,UNKNOWN,0,0.000779
0,1,0,0,47,5,0,0,0.0,0.992,2,15,6,UNKNOWN,0,0.000469
0,1,0,0,56,10,0,0,0.0,0.992,2,15,6,UNKNOWN,0,0.000494
0,1,0,0,46,5,0,0,0.0,0.992,2,15,6,UNKNOWN,0,0.000584
0,1,0,0,53,200,0,0,0.0,0.992,2,15,6,UNKNOWN,0,0.00205
0,1,0,0,48,150,0,0,0.0,0.992,2,15,6,UNKNOWN,0,0.001846
0,1,0,0,54,20,0,0,0.0,0.992,2,15,6,UNKNOWN,0,0.000649
0,1,0,0,62,150,0,0,0.0,0.992,2,15,6,UNKNOWN,0,0.001794
0,1,0,0,45,20,0,0,0.0,0.992,2,15,6,UNKNOWN,0,0.000704
0,1,0,0,47,100,0,0,0.0,0.992,2,15,6,UNKNOWN,0,0.000609
0,1,0,0,49,50,0,0,0.0,0.992,2,15,6,UNKNOWN,0,0.000577
0,1,0,0,51,10,0,0,0.0,0.992,2,15,6,UNKNOWN,0,0.000439
0,1,0,0,46,20,0,0,0.0,0.992,2,15,6,UNKNOWN,0,0.000619
0,1,0,0,42,5,0,0,0.0,0.992,2,15,6,UNKNOWN,0,0.000494
